post_id,,username,date_time,comments_raw
101577424,91732900,Larry Tan,"Sep 9, 2020","Multi layered ah, like kueh lapis ah... So good ah"
101577424,91732900,Peter Quek,"Sep 10, 2020",Omg ðŸ˜®? Why ? 
101577424,91732900,Ken Ho,"Sep 9, 2020",MOM?
101577424,91732900,Michael Lim,"Sep 9, 2020","I think some of the migrant worker in the dormitories purposely get infected so that they no need to goes to work and had free foods and salary.Might be the contractor should check them.If every day,we had repeat FW get infection,our government will had a big problem to look after them.All the effort goes down to drain.Million of dollars wasted.How long can our government spend to them?"
101577424,91732900,Lawrence Lee,"Sep 9, 2020","The PCR Tests are unreliable.  ""If we do a PCR corona test on an immuned person, it is not a virus that is detected, but a small shattered part of the viral genome. The test comes back positive for as long as there are tiny shattered parts of the virus left. Correct: Even if the infectious viruses are long dead, a corona test can come back positive, because the PCR method multiplies even a tiny fraction of the viral genetic material enough to be detected.  The PCR test with its extreme sensitivity was initially perfect to find out where the virus could be. But this test cannot identify whether the virus is still alive, i.e. still infectous.""  Beda M Stadler, former director of the Institute for Immunology at the University of Bern, a biologist and professor emeritus "
101577424,91732900,Vijay Anand,"Sep 9, 2020",When u give them free food free wifi free 5 star accommodation courtesy of taxpayers this is bound to happen. Cut their pay if they donâ€™t maintain their hygiene. Cases will definitely drop
101577424,91732900,Robert E Chan,"Sep 9, 2020",As far as I haveb been informed these idiots are not using the mask properly
101577424,91732900,Johnny Hoang,"Sep 9, 2020","2 7 -2 8 hoa mai street, phu nhuan district. Coffee shop"
101577424,91732900,Gan Yung Chyan,"Sep 9, 2020",https://staygate.blogspot.com/2020/09/hong-kong-develops-anti-bacterial.html
101577424,91732900,Nigel Nigel,"Sep 9, 2020","What nonsense is this ? Cleared means cleared. This is nonsense, going to 1 year already still not solve not recover ? Who wants to work if you don't work and still get paid."
