,Post Description,Post Datetime,Comments,Comment Datetime,num_words
180,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,Big appreciation to all involved!,2020-12-21 14:30:50+00:00,5
182,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,Great job! Thank you to all involved.,2020-12-21 14:39:26+00:00,7
184,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,Fantastic for S’pore! And I’ve never seen this much excitement about COLD CHAIN before! ✈️💉,2020-12-21 14:50:02+00:00,16
192,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,Bravo Min Ong and team!!!! 💪🏼💪🏼💪🏼,2020-12-22 00:32:42+00:00,5
194,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,Thank you for safely bringing in the vaccine and keeping us safe team sg!,2020-12-22 02:13:15+00:00,14
195,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,Thank you for the valuable effort in making tis come true for Singapore. Much appreciated 👏👏👏👏👏,2020-12-22 03:22:59+00:00,15
200,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,Hopefully we can have normality in time to come. 👍👍👍,2020-12-22 13:28:07+00:00,9
201,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,Really hope all normal cool chain movements daily can be as smooth as today. Perishables take half a day to clear on normal days. Sats cargo need to improve their daily operations rather than flog the limelight about a one time shipment.,2020-12-22 15:52:41+00:00,42
203,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,After all the fan fare... the first vaccinations had not yet started?,2020-12-29 00:47:48+00:00,12
204,"A historic cold chain moment on the night of Winter Solstice Festival (å†¬è‡³). The first vaccine shipment has finally arrived, safely and smoothly.

It reached our tarmac from Brussels this evening, on a @singaporeair cargo plane. From flight to delivery, a lot of preparation has gone into making this as smooth as possible, including a trial flight by #SIA.

Changi air hub ecosystem has been working out the processes for months, with a specially set up Taskforce. One of the challenges they identified was to ensure sufficient supply of dry ice. So #SATS is now producing 4 tonnes of dry ice per day, on its own facility!

The real work starts now.",2020-12-21 14:21:05+00:00,"Big thanks to Team SG, SATS and all involved 👍",2020-12-21 14:24:15+00:00,9
211,"The world is gearing up to receive millions of vaccine doses, #Singapore stands ready to transport and distribute COVID-19 vaccines when it reaches our shores.

With a combined cool chain handling capacity of 375,000 tonnes - more than 5 times the expected volume of vaccines coming into our region - our air cargo ecosystem is ready to play a key role in this international distribution process.

From plane to delivery, hereâ€™s how one of our key players, #SATS, does it.",2020-12-10 10:07:36+00:00,When we'll we ne getting the vaccine,2020-12-11 08:05:44+00:00,6
