,name,comment,processed_text,demojize_text
75,_xinghao_,But some of us haven’t even gotten our token,"['us', 'even', 'gotten', 'token']",But some of us haven’t even gotten our token
76,shayechiaki,@y0sephina @limvatar,[],@y0sephina @limvatar
77,hojyj_,@alden_ng we this wk must go watch!!!! If not can't go in cinema alr 🙄,"['wk', 'must', 'go', 'watch', 'ca', 'go', 'cinema', 'alr']",@alden_ng we this wk must go watch!!!! If not can't go in cinema alr :face_with_rolling_eyes:
78,itz_clare_here_,"Yeah I like being traced by the government,totally🙃","['yeah', 'like', 'trace', 'govern', 'total']","Yeah I like being traced by the government,totally:upside-down_face:"
79,awesomedab81,Goverment STUPITY 100 wtf is this idea,"['gover', 'stupiti', 'wtf', 'idea']",Goverment STUPITY 100 wtf is this idea
80,why_kaylam_,@miiguel.ebron @joaquinebronn @jhkyle_f1ph @axxrahmanxx16 @unforce01,[],@miiguel.ebron @joaquinebronn @jhkyle_f1ph @axxrahmanxx16 @unforce01
81,chiasids,i’ll just pirate it for free no thanks,"['pirat', 'free', 'thank']",i’ll just pirate it for free no thanks
82,arielkumartan_16,Thank you friend 💗,"['thank', 'friend']",Thank you friend :growing_heart:
83,vincent_heng__,@troyboltun,[],@troyboltun
84,drewnza,@eunicetxl,[],@eunicetxl
85,alvinwongweiye,It is okay google can do amazing things as well,"['okay', 'googl', 'amaz', 'thing', 'well']",It is okay google can do amazing things as well
86,0519pm_,Few weeks later: Tracetogether app/ token to be compulsory once u step out of your house 😂😂,"['week', 'later', 'tracetogeth', 'token', 'compulsori', 'u', 'step', 'hous']",Few weeks later: Tracetogether app/ token to be compulsory once u step out of your house :face_with_tears_of_joy::face_with_tears_of_joy:
87,ch3nsi,@l33_bing now cannot watch mugen train alr :(,"['watch', 'mugen', 'train', 'alr']",@l33_bing now cannot watch mugen train alr :(
88,nicholasciupa,then what’s the safe entry for,"['safe', 'entri']",then what’s the safe entry for
89,enjoy.whileitlasts,@pashminah are we going to see movies?,"['go', 'see', 'movi']",@pashminah are we going to see movies?
90,meifern,@hanson_leegy @airenechua,[],@hanson_leegy @airenechua
91,haveafuckinggoodtimeboi,"Then be prepared to lose profits then...we ain’t losing out, u are.","['prepar', 'lose', 'profit', 'lose', 'u']","Then be prepared to lose profits then...we ain’t losing out, u are."
92,pikachewyyy,They had us in the first half not gonna lie,"['us', 'first', 'half', 'gon', 'na', 'lie']",They had us in the first half not gonna lie
