,name,comment,processed_text,demojize_text
6,legit_trusted_wordwide,"нєℓℓσ ι'м σℓ∂ мσиєу ¢σℓℓє¢тσя αи∂ ι ʝυѕт ωαииα ιиfσямє∂ уσυ тσ ρм мє вα¢к ιf уσυ нανє σℓ∂ мαℓαуѕιαи, ∂υвαι, υαє,ѕιиgαρσяє,вяυиєι,¢нιиα ¢σιи,σℓ∂ ʝυяιєѕ,σℓ∂ ℓαмρ σя иσтє fσя ѕαℓє!!!! ?????????? ✅✅✅✅",[],"нєℓℓσ ι'м σℓ∂ мσиєу ¢σℓℓє¢тσя αи∂ ι ʝυѕт ωαииα ιиfσямє∂ уσυ тσ ρм мє вα¢к ιf уσυ нανє σℓ∂ мαℓαуѕιαи, ∂υвαι, υαє,ѕιиgαρσяє,вяυиєι,¢нιиα ¢σιи,σℓ∂ ʝυяιєѕ,σℓ∂ ℓαмρ σя иσтє fσя ѕαℓє!!!! ?????????? :check_mark_button::check_mark_button::check_mark_button::check_mark_button:"
7,ong_ka_guan,😮😮😮,[],:face_with_open_mouth::face_with_open_mouth::face_with_open_mouth:
8,bjswh_ulrichstern,"Dang it, was hoping for 10.","['dang', 'hope']","Dang it, was hoping for 10."
9,andy.tan.549221,just another numbers game by gov to please themselves !!!,"['anoth', 'number', 'game', 'gov', 'pleas']",just another numbers game by gov to please themselves !!!
10,birdette,@messianger,[],@messianger
11,itzme_janet,"For extended family members, 8 is not enough...🙄","['extend', 'famili', 'member', 'enough']","For extended family members, 8 is not enough...:face_with_rolling_eyes:"
12,dylanzxe118,And I’ll be the 9th friend,['friend'],And I’ll be the 9th friend
13,rimah_din,Nvm I'll just make the gathering in the MRT. 😂,"['nvm', 'make', 'gather', 'mrt']",Nvm I'll just make the gathering in the MRT. :face_with_tears_of_joy:
14,ariel_haziel,🌈Infinity people! 🙏,"['infin', 'peopl']",:rainbow:Infinity people! :folded_hands:
15,cynkjpop,Huh 8 for family? Only another 3 more? Doesn't make sense for phase 3.... 🤔,"['huh', 'famili', 'anoth', 'make', 'sens', 'phase']",Huh 8 for family? Only another 3 more? Doesn't make sense for phase 3.... :thinking_face:
16,geeta0079,When can we holiday? 😒😒😒,['holiday'],When can we holiday? :unamused_face::unamused_face::unamused_face:
