,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
34,34,22,scofie3,"Why waiting for salary when you can earn up to $12,500 in just 5days of investment, despite the covid 19 stuff you can still make more money from the comfort of your home @earn_with_tiwase_kariet_expert","['wait', 'salari', 'earn', 'invest', 'despit', 'covid', 'stuff', 'still', 'make', 'money', 'comfort', 'home']","Why waiting for salary when you can earn up to $12,500 in just 5days of investment, despite the covid 19 stuff you can still make more money from the comfort of your home @earn_with_tiwase_kariet_expert"
35,35,23,ccthecatcosmia,Finally my phone battery won’t be drained :v,"['final', 'phone', 'batteri', 'drain', 'v']",Finally my phone battery won’t be drained :v
36,36,24,yxnggxuannn,yay,['yay'],yay
37,37,25,menshoeholic,Yes plsssss,"['ye', 'plsssss']",Yes plsssss
38,38,26,cocoscented26,Yay,['yay'],Yay
39,39,27,cal._.istar,wah finally,"['wah', 'final']",wah finally
40,40,28,natewithsherry,"Trading has been much easier with @mr__robertdiego I invested $10,000 and got $58,500 return in 15 days.His transparency and accountability is the best @mr__robertdiego","['trade', 'much', 'easier', 'invest', 'got', 'return', 'transpar', 'account', 'best']","Trading has been much easier with @mr__robertdiego I invested $10,000 and got $58,500 return in 15 days.His transparency and accountability is the best @mr__robertdiego"
41,41,29,stan.bighit,"huh?? idw use the app for contact tracing purpose leh, still need update sia. my storage explode alrdy, I'd rather use the token wtf","['huh', 'idw', 'use', 'app', 'contact', 'trace', 'purpos', 'leh', 'still', 'need', 'updat', 'sia', 'storag', 'explod', 'alrdi', 'rather', 'use', 'token', 'wtf']","huh?? idw use the app for contact tracing purpose leh, still need update sia. my storage explode alrdy, I'd rather use the token wtf"
42,42,30,lpddr5x,WAIT SO CANNOT USE TRACE TOGETHER APP??,"['wait', 'use', 'trace', 'togeth', 'app']",WAIT SO CANNOT USE TRACE TOGETHER APP??
43,43,31,dj.highness,Thank god lol,"['thank', 'god', 'lol']",Thank god lol
44,44,32,mysyukun,"If you enter safely the first time, subsequent times no need, if you know what i mean","['enter', 'safe', 'first', 'time', 'subsequ', 'time', 'need', 'know', 'mean']","If you enter safely the first time, subsequent times no need, if you know what i mean"
45,45,33,361n0sc0pe,@raging.doryyy,[],@raging.doryyy
46,46,34,alexya.jenny,"@paidwithguardadofx 𝐈 𝐟𝐞𝐞𝐥 𝐬𝐨 𝐢𝐦𝐩𝐫𝐞𝐬𝐬𝐞𝐝 𝐰𝐢𝐭𝐡 𝐭𝐡𝐞 𝐰𝐨𝐧𝐝𝐞𝐫𝐟𝐮𝐥 𝐰𝐨𝐫𝐤 𝐰𝐞𝐥𝐥 𝐝𝐨𝐧𝐞. 𝐈 𝐭𝐨𝐨𝐤 𝐚 𝐫𝐢𝐬𝐤 𝐭𝐨 𝐠𝐢𝐯𝐞 𝐚 𝐭𝐫𝐢𝐚𝐥 𝐨𝐟 £𝟓,𝟎𝟎𝟎, 𝐚𝐧𝐝 𝐢 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐚 𝐩𝐚𝐲𝐦𝐞𝐧𝐭 𝐨𝐟 £𝟒𝟕,𝟓𝟎𝟎. 𝐀𝐦 𝐠𝐫𝐚𝐭𝐞𝐟𝐮𝐥 @paidwithguardadofx",[],"@paidwithguardadofx 𝐈 𝐟𝐞𝐞𝐥 𝐬𝐨 𝐢𝐦𝐩𝐫𝐞𝐬𝐬𝐞𝐝 𝐰𝐢𝐭𝐡 𝐭𝐡𝐞 𝐰𝐨𝐧𝐝𝐞𝐫𝐟𝐮𝐥 𝐰𝐨𝐫𝐤 𝐰𝐞𝐥𝐥 𝐝𝐨𝐧𝐞. 𝐈 𝐭𝐨𝐨𝐤 𝐚 𝐫𝐢𝐬𝐤 𝐭𝐨 𝐠𝐢𝐯𝐞 𝐚 𝐭𝐫𝐢𝐚𝐥 𝐨𝐟 £𝟓,𝟎𝟎𝟎, 𝐚𝐧𝐝 𝐢 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐚 𝐩𝐚𝐲𝐦𝐞𝐧𝐭 𝐨𝐟 £𝟒𝟕,𝟓𝟎𝟎. 𝐀𝐦 𝐠𝐫𝐚𝐭𝐞𝐟𝐮𝐥 @paidwithguardadofx"
47,47,35,whitemirrorsociety,Finally saving the hassle of scanning for eternity sake,"['final', 'save', 'hassl', 'scan', 'etern', 'sake']",Finally saving the hassle of scanning for eternity sake
48,48,36,_yaosina,ty ily,"['ty', 'ili']",ty ily
49,49,37,missym_m,Finally,['final'],Finally
50,50,38,tiantiannie,Finally,['final'],Finally
51,51,39,richar.dcent,"When I lost my job, I thought I have lost it all. With the little cash of $1600 I got $15000 with @paidwithguardadofx He may not know it, but really He has saved my life","['lost', 'job', 'thought', 'lost', 'littl', 'cash', 'got', 'may', 'know', 'realli', 'save', 'life']","When I lost my job, I thought I have lost it all. With the little cash of $1600 I got $15000 with @paidwithguardadofx He may not know it, but really He has saved my life"
52,52,40,shantoy61,Success is a choice and financial safety is the first priority. I invested 5k and I made over $25k this month with @paidwithguardadofx,"['success', 'choic', 'financi', 'safeti', 'first', 'prioriti', 'invest', 'made', 'month']",Success is a choice and financial safety is the first priority. I invested 5k and I made over $25k this month with @paidwithguardadofx
53,53,41,pariseasia,The real question is : from when ? 👀,"['real', 'question']",The real question is : from when ? :eyes:
54,54,42,karakatoo,🤔,[],:thinking_face:
55,55,43,bigger.green,𝐀 𝐥𝐨𝐬𝐞𝐫 𝐢𝐬 𝐧𝐨𝐭 𝐚 𝐩𝐞𝐫𝐬𝐨𝐧 𝐰𝐡𝐨 𝐟𝐚𝐢𝐥𝐬 𝐨𝐧𝐜𝐞. 𝐀 𝐥𝐨𝐬𝐞𝐫 𝐢𝐬 𝐚 𝐩𝐞𝐫𝐬𝐨𝐧 𝐰𝐡𝐨 𝐝𝐨𝐞𝐬𝐧'𝐭 𝐡𝐚𝐯𝐞 𝐭𝐡𝐞 𝐠𝐮𝐭𝐬 𝐭𝐨 𝐠𝐞𝐭 𝐮𝐩 𝐚𝐧𝐝 𝐭𝐫𝐲 𝐚𝐠𝐚𝐢𝐧. 𝐋𝐢𝐤𝐞 𝐈 𝐝𝐢𝐝 𝐰𝐢𝐭𝐡 @paidwithguardadofx,[],𝐀 𝐥𝐨𝐬𝐞𝐫 𝐢𝐬 𝐧𝐨𝐭 𝐚 𝐩𝐞𝐫𝐬𝐨𝐧 𝐰𝐡𝐨 𝐟𝐚𝐢𝐥𝐬 𝐨𝐧𝐜𝐞. 𝐀 𝐥𝐨𝐬𝐞𝐫 𝐢𝐬 𝐚 𝐩𝐞𝐫𝐬𝐨𝐧 𝐰𝐡𝐨 𝐝𝐨𝐞𝐬𝐧'𝐭 𝐡𝐚𝐯𝐞 𝐭𝐡𝐞 𝐠𝐮𝐭𝐬 𝐭𝐨 𝐠𝐞𝐭 𝐮𝐩 𝐚𝐧𝐝 𝐭𝐫𝐲 𝐚𝐠𝐚𝐢𝐧. 𝐋𝐢𝐤𝐞 𝐈 𝐝𝐢𝐝 𝐰𝐢𝐭𝐡 @paidwithguardadofx
56,56,44,tiffanyyjoc,akhirnya gausa ngomel” lg wkwk @sherennetania @elvirawin @erickawellen,"['akhirnya', 'gausa', 'ngomel', 'lg', 'wkwk']",akhirnya gausa ngomel” lg wkwk @sherennetania @elvirawin @erickawellen
