,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
3153,3691,Just remember who said that itâ€™s not as severe as sars and like common flu would go away?,29/3/20,-0.3,0.5,0.117,0.673,0.21,0.2695,sadness
3221,3760,"Oh and dude, your body is nice but it's not anything exceptional.",10/3/21,0.6333333333333333,1.0,0.0,0.853,0.147,0.2263,sadness
3253,3792,The priority is wrong.,23/3/20,-0.5,0.9,0.508,0.492,0.0,-0.4767,sadness
3259,3798,Cannot be delayed further.,23/3/20,0.0,0.5,0.0,0.643,0.357,0.1695,sadness
3278,3817,I'm sure we will all tide through this but someone another such event may occur again; in the same or another form.,13/3/20,0.16666666666666666,0.5046296296296297,0.0,0.927,0.073,0.1655,sadness
3300,3839,"Pray for all Sadly, we don’t always know the depths of someone’s depression until it is too late.",8/10/20,-0.4,0.8,0.273,0.63,0.097,-0.6369,sadness
3314,3853,"People think that because she ""looks"" good and has stayed out of the hospital, everything is ok. We are truly grateful she is out of the hospital and has been as healthy as She can be thank Guan Yin Ma, but this is our lives.",1/10/20,0.5666666666666667,0.5333333333333333,0.0,0.778,0.222,0.7964,sadness
3393,3933,There is a lot to be disappointed about.,2020-04-09,-0.75,0.75,0.341,0.659,0.0,-0.4767,sadness
3440,3980,I only aspire to live like other countries live in peace,2020-06-15,0.03693181818181818,0.59375,0.0,0.571,0.429,0.7184,sadness
3447,3987,"Phase 1,2,3= same as lockdown no difference.on each phase if the gov.help to those who suffer the most like,to long stay home means more people will lost job.Most of our job replace by or takeover by m'sian who willing to be in s'pore ro work as they know employer need them,living in good hotel,food provided &of course they have to sacrifice leaving family and love one, cus they know only at this time cov.19,they grap this apportunity to to make money.Where s'pore'n,stuck at home waiting and hoping helplessly from the gov to help us more on our finacial situation during in this difficult time.Bank,financial inst.",2020-05-26,0.24,0.5974999999999999,0.111,0.786,0.103,0.0158,sadness
3461,4001,We work together to support one another during these tough times.,2020-05-12,-0.3888888888888889,0.8333333333333334,0.114,0.682,0.205,0.296,sadness
3474,4014,I lived in an executive apt in Tampines and I am the sole bread winner as I am widowed and without siblings.,2020-04-03,0.3,0.625,0.13,0.711,0.159,0.1779,sadness
3478,4018,"In case there is any job opportunity, I will be ready to take it up to ease the ongoing expenses in my family.",2020-04-03,0.2,0.5,0.0,0.709,0.291,0.7783,sadness
